Pos.,No.,Name,RName,Team,Ht.m,Wt.kg,BMI,KPmin,Avg..Speed,z.BMI,z.Speed
G,7,Jaylen Brown,J. Brown,BOS,1.98,100,25.51,2310,4.29,0.61,0.22
G,7,Jaylen Brown,J. Brown,All,1.98,100,25.51,2310,4.29,0.61,0.22
F,20,Gordon Hayward,G. Hayward,BOS,2.03,102,24.75,1860,4.42,0.12,0.88
F,20,Gordon Hayward,G. Hayward,All,2.03,102,24.75,1860,4.42,0.12,0.88
C,11,Enes Kanter,E. Kanter,BOS,2.08,113,26.12,1848,4.08,1,-0.85
C,11,Enes Kanter,E. Kanter,All,2.08,113,26.12,1848,4.08,1,-0.85
F,37,Semi Ojeleye,S. Ojeleye,BOS,1.98,109,27.8,624,4.38,2.08,0.68
F,37,Semi Ojeleye,S. Ojeleye,All,1.98,109,27.8,624,4.38,2.08,0.68
G,36,Marcus Smart,M. Smart,BOS,1.91,100,27.41,2280,4.09,1.83,-0.8
G,36,Marcus Smart,M. Smart,All,1.91,100,27.41,2280,4.09,1.83,-0.8
F,0,Jayson Tatum,J. Tatum,BOS,2.03,95,23.05,2496,4.13,-0.97,-0.6
F,0,Jayson Tatum,J. Tatum,All,2.03,95,23.05,2496,4.13,-0.97,-0.6
F,27,Daniel Theis,D. Theis,BOS,2.03,110,26.69,1155,4.19,1.37,-0.29
F,27,Daniel Theis,D. Theis,All,2.03,110,26.69,1155,4.19,1.37,-0.29
G,8,Kemba Walker,K. Walker,BOS,1.83,83,24.78,2652,4.13,0.14,-0.6
G,8,Kemba Walker,K. Walker,All,1.83,83,24.78,2652,4.13,0.14,-0.6
G,9,Brad Wanamaker,B. Wanamaker,BOS,1.91,95,26.04,780,4.27,0.95,0.12
G,9,Brad Wanamaker,B. Wanamaker,All,1.91,95,26.04,780,4.27,0.95,0.12
F/C,44,Robert Williams III,R. Williams III,BOS,2.03,116,28.15,936,4.11,2.31,-0.7
F/C,44,Robert Williams III,R. Williams III,All,2.03,116,28.15,936,4.11,2.31,-0.7
C,31,Jarrett Allen,J. Allen,BRK,2.11,110,24.71,1872,4.23,0.09,-0.09
C,31,Jarrett Allen,J. Allen,All,2.11,110,24.71,1872,4.23,0.09,-0.09
F,21,Wilson Chandler,W. Chandler,BRK,2.03,107,25.97,1110,4.21,0.9,-0.19
F,21,Wilson Chandler,W. Chandler,All,2.03,107,25.97,1110,4.21,0.9,-0.19
G,8,Spencer Dinwiddie,S. Dinwiddie,BRK,1.96,98,25.51,2184,4.06,0.61,-0.96
G,8,Spencer Dinwiddie,S. Dinwiddie,All,1.96,98,25.51,2184,4.06,0.61,-0.96
G/F,12,Joe Harris,J. Harris,BRK,1.98,100,25.51,2280,4.55,0.61,1.55
G/F,12,Joe Harris,J. Harris,All,1.98,100,25.51,2280,4.55,0.61,1.55
G,11,Kyrie Irving,K. Irving,BRK,1.88,88,24.9,2475,4.11,0.22,-0.7
G,11,Kyrie Irving,K. Irving,All,1.88,88,24.9,2475,4.11,0.22,-0.7
C,6,DeAndre Jordan,D. Jordan,BRK,2.11,120,26.95,1872,3.73,1.54,-2.64
C,6,DeAndre Jordan,D. Jordan,All,2.11,120,26.95,1872,3.73,1.54,-2.64
F,0,Rodions Kurucs,R. Kurucs,BRK,2.06,103,24.27,1404,4.65,-0.19,2.06
F,0,Rodions Kurucs,R. Kurucs,All,2.06,103,24.27,1404,4.65,-0.19,2.06
G,22,Caris LeVert,C. LeVert,BRK,1.98,93,23.72,1932,4.23,-0.54,-0.09
G,22,Caris LeVert,C. LeVert,All,1.98,93,23.72,1932,4.23,-0.54,-0.09
G/F,13,Dzanan Musa,D. Musa,BRK,2.06,98,23.09,385,4.23,-0.94,-0.09
G/F,13,Dzanan Musa,D. Musa,All,2.06,98,23.09,385,4.23,-0.94,-0.09
G,0,David Nwaba,D. Nwaba,BRK,1.96,99,25.77,228,4.28,0.78,0.17
G,0,David Nwaba,D. Nwaba,All,1.96,99,25.77,228,4.28,0.78,0.17
G/F,1,Theo Pinson,T. Pinson,BRK,1.96,96,24.99,180,4.13,0.27,-0.6
G/F,1,Theo Pinson,T. Pinson,All,1.96,96,24.99,180,4.13,0.27,-0.6
F,2,Taurean Prince,T. Prince,BRK,2.01,99,24.5,2156,4.14,-0.04,-0.55
F,2,Taurean Prince,T. Prince,All,2.01,99,24.5,2156,4.14,-0.04,-0.55
G/F,17,Garrett Temple,G. Temple,BRK,1.96,88,22.91,1368,4.27,-1.06,0.12
G/F,17,Garrett Temple,G. Temple,All,1.96,88,22.91,1368,4.27,-1.06,0.12
G/F,25,Reggie Bullock,R. Bullock,NYK,2.01,93,23.02,590,4.29,-0.99,0.22
G/F,25,Reggie Bullock,R. Bullock,All,2.01,93,23.02,590,4.29,-0.99,0.22
G,21,Damyean Dotson,D. Dotson,NYK,1.98,94,23.98,234,4.27,-0.38,0.12
G,21,Damyean Dotson,D. Dotson,All,1.98,94,23.98,234,4.27,-0.38,0.12
G,2,Wayne Ellington,W. Ellington,NYK,1.96,94,24.47,924,4.28,-0.06,0.17
G,2,Wayne Ellington,W. Ellington,All,1.96,94,24.47,924,4.28,-0.06,0.17
F,67,Taj Gibson,T. Gibson,NYK,2.08,105,24.27,624,4.2,-0.19,-0.24
F,67,Taj Gibson,T. Gibson,All,2.08,105,24.27,624,4.2,-0.19,-0.24
F,20,Kevin Knox,K. Knox,NYK,2.03,98,23.78,2184,4.21,-0.5,-0.19
F,20,Kevin Knox,K. Knox,All,2.03,98,23.78,2184,4.21,-0.5,-0.19
F,13,Marcus Morris,M. Morris,NYK,2.06,99,23.33,2128,4.1,-0.79,-0.75
F,13,Marcus Morris,M. Morris,All,2.06,99,23.33,2128,4.1,-0.79,-0.75
G,11,Frank Ntilikina,F. Ntilikina,NYK,1.96,89,23.17,430,4.23,-0.9,-0.09
G,11,Frank Ntilikina,F. Ntilikina,All,1.96,89,23.17,430,4.23,-0.9,-0.09
G,6,Elfrid Payton,E. Payton,NYK,1.93,88,23.62,1752,4.35,-0.6,0.53
G,6,Elfrid Payton,E. Payton,All,1.93,88,23.62,1752,4.35,-0.6,0.53
F,1,Bobby Portis,B. Portis,NYK,2.11,116,26.06,1824,4.08,0.96,-0.85
F,1,Bobby Portis,B. Portis,All,2.11,116,26.06,1824,4.08,0.96,-0.85
F,30,Julius Randle,J. Randle,NYK,2.06,116,27.34,2340,4.01,1.78,-1.21
F,30,Julius Randle,J. Randle,All,2.06,116,27.34,2340,4.01,1.78,-1.21
C,23,Mitchell Robinson,M. Robinson,NYK,2.16,109,23.36,1872,4.18,-0.77,-0.34
C,23,Mitchell Robinson,M. Robinson,All,2.16,109,23.36,1872,4.18,-0.77,-0.34
G,5,Dennis Smith Jr.,D. Smith Jr.,NYK,1.91,93,25.49,1824,4.24,0.6,-0.04
G,5,Dennis Smith Jr.,D. Smith Jr.,All,1.91,93,25.49,1824,4.24,0.6,-0.04
G,14,Allonzo Trier,A. Trier,NYK,1.96,91,23.69,770,4.17,-0.56,-0.39
G,14,Allonzo Trier,A. Trier,All,1.96,91,23.69,770,4.17,-0.56,-0.39
F,43,Jonah Bolden,J. Bolden,PHI,2.03,100,24.27,624,4.45,-0.19,1.04
F,43,Jonah Bolden,J. Bolden,All,2.03,100,24.27,624,4.45,-0.19,1.04
G,23,Trey Burke,T. Burke,PHI,1.83,79,23.59,780,4.4,-0.62,0.78
G,23,Trey Burke,T. Burke,All,1.83,79,23.59,780,4.4,-0.62,0.78
F/C,21,Joel Embiid,J. Embiid,PHI,2.13,113,24.91,2178,3.89,0.22,-1.83
F/C,21,Joel Embiid,J. Embiid,All,2.13,113,24.91,2178,3.89,0.22,-1.83
F,12,Tobias Harris,T. Harris,PHI,2.03,107,25.97,2652,4.22,0.9,-0.14
F,12,Tobias Harris,T. Harris,All,2.03,107,25.97,2652,4.22,0.9,-0.14
F/C,42,Al Horford,A. Horford,PHI,2.06,111,26.16,2204,3.98,1.03,-1.37
F/C,42,Al Horford,A. Horford,All,2.06,111,26.16,2204,3.98,1.03,-1.37
G/F,30,Furkan Korkmaz,F. Korkmaz,PHI,2.01,86,21.29,710,4.53,-2.11,1.45
G/F,30,Furkan Korkmaz,F. Korkmaz,All,2.01,86,21.29,710,4.53,-2.11,1.45
G,18,Shake Milton,S. Milton,PHI,1.96,94,24.47,253,4.43,-0.06,0.93
G,18,Shake Milton,S. Milton,All,1.96,94,24.47,253,4.43,-0.06,0.93
G,19,Raul Neto,R. Neto,PHI,1.85,81,23.67,816,4.53,-0.58,1.45
G,19,Raul Neto,R. Neto,All,1.85,81,23.67,816,4.53,-0.58,1.45
C,9,Kyle O'Quinn,K. O'Quinn,PHI,2.06,113,26.63,624,3.93,1.33,-1.62
C,9,Kyle O'Quinn,K. O'Quinn,All,2.06,113,26.63,624,3.93,1.33,-1.62
G/F,0,Josh Richardson,J. Richardson,PHI,1.96,91,23.69,2584,4.3,-0.56,0.27
G/F,0,Josh Richardson,J. Richardson,All,1.96,91,23.69,2584,4.3,-0.56,0.27
F,1,Mike Scott,M. Scott,PHI,2.01,108,26.73,1386,4.3,1.39,0.27
F,1,Mike Scott,M. Scott,All,2.01,108,26.73,1386,4.3,1.39,0.27
G/F,25,Ben Simmons,B. Simmons,PHI,2.08,104,24.04,2244,4.17,-0.34,-0.39
G/F,25,Ben Simmons,B. Simmons,All,2.08,104,24.04,2244,4.17,-0.34,-0.39
G,8,Zhaire Smith,Z. Smith,PHI,1.91,90,24.67,720,4.58,0.07,1.7
G,8,Zhaire Smith,Z. Smith,All,1.91,90,24.67,720,4.58,0.07,1.7
F,3,OG Anunoby,O. Anunoby,TOR,2.03,105,25.48,1900,4.37,0.59,0.63
F,3,OG Anunoby,O. Anunoby,All,2.03,105,25.48,1900,4.37,0.59,0.63
C,33,Marc Gasol,M. Gasol,TOR,2.16,116,24.86,1925,3.67,0.19,-2.95
C,33,Marc Gasol,M. Gasol,All,2.16,116,24.86,1925,3.67,0.19,-2.95
F,4,Rondae Hollis-Jefferson,R. Hollis-Jefferson,TOR,2.01,98,24.26,1155,4.32,-0.2,0.37
F,4,Rondae Hollis-Jefferson,R. Hollis-Jefferson,All,2.01,98,24.26,1155,4.32,-0.2,0.37
F/C,9,Serge Ibaka,S. Ibaka,TOR,2.08,107,24.73,1872,4,0.11,-1.26
F/C,9,Serge Ibaka,S. Ibaka,All,2.08,107,24.73,1872,4,0.11,-1.26
F,5,Stanley Johnson,S. Johnson,TOR,2.01,111,27.47,1386,4.27,1.87,0.12
F,5,Stanley Johnson,S. Johnson,All,2.01,111,27.47,1386,4.27,1.87,0.12
G,7,Kyle Lowry,K. Lowry,TOR,1.83,89,26.58,2475,3.95,1.29,-1.52
G,7,Kyle Lowry,K. Lowry,All,1.83,89,26.58,2475,3.95,1.29,-1.52
G,22,Patrick McCaw,P. McCaw,TOR,2.01,84,20.79,1520,4.25,-2.42,0.01
G,22,Patrick McCaw,P. McCaw,All,2.01,84,20.79,1520,4.25,-2.42,0.01
G/F,24,Norman Powell,N. Powell,TOR,1.93,98,26.31,1848,4.38,1.12,0.68
G/F,24,Norman Powell,N. Powell,All,1.93,98,26.31,1848,4.38,1.12,0.68
F,43,Pascal Siakam,P. Siakam,TOR,2.06,104,24.51,2574,4.36,-0.04,0.58
F,43,Pascal Siakam,P. Siakam,All,2.06,104,24.51,2574,4.36,-0.04,0.58
G,23,Fred VanVleet,F. VanVleet,TOR,1.83,88,26.28,2156,4.36,1.1,0.58
G,23,Fred VanVleet,F. VanVleet,All,1.83,88,26.28,2156,4.36,1.1,0.58
G,51,Ryan Arcidiacono,R. Arcidiacono,CHI,1.91,91,24.94,1092,4.45,0.25,1.04
G,51,Ryan Arcidiacono,R. Arcidiacono,All,1.91,91,24.94,1092,4.45,0.25,1.04
G,32,Kris Dunn,K. Dunn,CHI,1.93,93,24.97,1562,4.28,0.26,0.17
G,32,Kris Dunn,K. Dunn,All,1.93,93,24.97,1562,4.28,0.26,0.17
F/C,6,Cristiano Felicio,C. Felicio,CHI,2.08,120,27.74,390,4.26,2.04,0.07
F/C,6,Cristiano Felicio,C. Felicio,All,2.08,120,27.74,390,4.26,2.04,0.07
G,3,Shaquille Harrison,S. Harrison,CHI,1.93,86,23.09,390,4.64,-0.95,2.01
G,3,Shaquille Harrison,S. Harrison,All,1.93,86,23.09,390,4.64,-0.95,2.01
F,15,Chandler Hutchison,C. Hutchison,CHI,2.01,89,22.03,684,4.49,-1.63,1.24
F,15,Chandler Hutchison,C. Hutchison,All,2.01,89,22.03,684,4.49,-1.63,1.24
C,2,Luke Kornet,L. Kornet,CHI,2.16,113,24.22,624,4.24,-0.22,-0.04
C,2,Luke Kornet,L. Kornet,All,2.16,113,24.22,624,4.24,-0.22,-0.04
G,8,Zach LaVine,Z. LaVine,CHI,1.96,91,23.69,1972,4.43,-0.56,0.93
G,8,Zach LaVine,Z. LaVine,All,1.96,91,23.69,1972,4.43,-0.56,0.93
F,24,Lauri Markkanen,L. Markkanen,CHI,2.13,109,24.03,2400,4.2,-0.34,-0.24
F,24,Lauri Markkanen,L. Markkanen,All,2.13,109,24.03,2400,4.2,-0.34,-0.24
G/F,31,Tomas Satoransky,T. Satoransky,CHI,2.01,95,23.51,1716,4.5,-0.67,1.29
G/F,31,Tomas Satoransky,T. Satoransky,All,2.01,95,23.51,1716,4.5,-0.67,1.29
F,21,Thaddeus Young,T. Young,CHI,2.03,100,24.27,2106,4.2,-0.19,-0.24
F,21,Thaddeus Young,T. Young,All,2.03,100,24.27,2106,4.2,-0.19,-0.24
G,8,Jordan Clarkson,J. Clarkson,CLE,1.96,88,22.91,1872,4.28,-1.06,0.17
G,8,Jordan Clarkson,J. Clarkson,All,1.96,88,22.91,1872,4.28,-1.06,0.17
G,18,Matthew Dellavedova,M. Dellavedova,CLE,1.93,91,24.43,840,4.2,-0.08,-0.24
G,18,Matthew Dellavedova,M. Dellavedova,All,1.93,91,24.43,840,4.2,-0.08,-0.24
F/C,31,John Henson,J. Henson,CLE,2.11,99,22.24,804,4.27,-1.49,0.12
F/C,31,John Henson,J. Henson,All,2.11,99,22.24,804,4.27,-1.49,0.12
G,20,Brandon Knight,B. Knight,CLE,1.91,88,24.12,529,4.23,-0.28,-0.09
G,20,Brandon Knight,B. Knight,All,1.91,88,24.12,529,4.23,-0.28,-0.09
F/C,0,Kevin Love,K. Love,CLE,2.08,114,26.35,1680,4.01,1.15,-1.21
F/C,0,Kevin Love,K. Love,All,2.08,114,26.35,1680,4.01,1.15,-1.21
F,22,Larry Nance Jr.,L. Nance Jr.,CLE,2.06,104,24.51,1850,4.13,-0.04,-0.6
F,22,Larry Nance Jr.,L. Nance Jr.,All,2.06,104,24.51,1850,4.13,-0.04,-0.6
F,16,Cedi Osman,C. Osman,CLE,2.03,98,23.78,2340,4.13,-0.5,-0.6
F,16,Cedi Osman,C. Osman,All,2.03,98,23.78,2340,4.13,-0.5,-0.6
G,2,Collin Sexton,C. Sexton,CLE,1.88,86,24.33,2418,4.14,-0.15,-0.55
G,2,Collin Sexton,C. Sexton,All,1.88,86,24.33,2418,4.14,-0.15,-0.55
F/C,13,Tristan Thompson,T. Thompson,CLE,2.08,108,24.96,1680,4.15,0.26,-0.5
F/C,13,Tristan Thompson,T. Thompson,All,2.08,108,24.96,1680,4.15,0.26,-0.5
C,41,Ante Zizic,A. Zizic,CLE,2.11,115,25.83,1404,4,0.82,-1.26
C,41,Ante Zizic,A. Zizic,All,2.11,115,25.83,1404,4,0.82,-1.26
G,6,Bruce Brown,B. Brown,DET,1.96,92,23.95,1560,4.46,-0.39,1.09
G,6,Bruce Brown,B. Brown,All,1.96,92,23.95,1560,4.46,-0.39,1.09
C,0,Andre Drummond,A. Drummond,DET,2.11,127,28.53,2574,3.94,2.55,-1.57
C,0,Andre Drummond,A. Drummond,All,2.11,127,28.53,2574,3.94,2.55,-1.57
G,12,Tim Frazier,T. Frazier,DET,1.85,77,22.5,624,4.37,-1.33,0.63
G,12,Tim Frazier,T. Frazier,All,1.85,77,22.5,624,4.37,-1.33,0.63
G,9,Langston Galloway,L. Galloway,DET,1.88,91,25.75,1716,4.4,0.76,0.78
G,9,Langston Galloway,L. Galloway,All,1.88,91,25.75,1716,4.4,0.76,0.78
F,23,Blake Griffin,B. Griffin,DET,2.08,113,26.12,2590,3.71,1,-2.75
F,23,Blake Griffin,B. Griffin,All,2.08,113,26.12,2590,3.71,1,-2.75
G,1,Reggie Jackson,R. Jackson,DET,1.91,94,25.77,1988,4.2,0.77,-0.24
G,1,Reggie Jackson,R. Jackson,All,1.91,94,25.77,1988,4.2,0.77,-0.24
G,5,Luke Kennard,L. Kennard,DET,1.96,93,24.21,2002,4.25,-0.23,0.01
G,5,Luke Kennard,L. Kennard,All,1.96,93,24.21,2002,4.25,-0.23,0.01
F,7,Thon Maker,T. Maker,DET,2.16,100,21.43,936,4.45,-2.01,1.04
F,7,Thon Maker,T. Maker,All,2.16,100,21.43,936,4.45,-2.01,1.04
F,8,Markieff Morris,M. Morris,DET,2.08,111,25.66,1520,3.84,0.7,-2.08
F,8,Markieff Morris,M. Morris,All,2.08,111,25.66,1520,3.84,0.7,-2.08
F,19,Svi Mykhailiuk,S. Mykhailiuk,DET,2.03,93,22.57,234,4.46,-1.28,1.09
F,19,Svi Mykhailiuk,S. Mykhailiuk,All,2.03,93,22.57,234,4.46,-1.28,1.09
G,25,Derrick Rose,D. Rose,DET,1.91,91,24.94,1596,4.18,0.25,-0.34
G,25,Derrick Rose,D. Rose,All,1.91,91,24.94,1596,4.18,0.25,-0.34
G,17,Tony Snell,T. Snell,DET,2.01,97,24.01,1950,4.2,-0.36,-0.24
G,17,Tony Snell,T. Snell,All,2.01,97,24.01,1950,4.2,-0.36,-0.24
G,13,Khyri Thomas,K. Thomas,DET,1.91,95,26.04,156,4.51,0.95,1.34
G,13,Khyri Thomas,K. Thomas,All,1.91,95,26.04,156,4.51,0.95,1.34
G,7,Malcolm Brogdon,M. Brogdon,IND,1.96,104,27.07,2044,4.25,1.61,0.01
G,7,Malcolm Brogdon,M. Brogdon,All,1.96,104,27.07,2044,4.25,1.61,0.01
G,3,Aaron Holiday,A. Holiday,IND,1.85,84,24.54,1404,4.35,-0.01,0.53
G,3,Aaron Holiday,A. Holiday,All,1.85,84,24.54,1404,4.35,-0.01,0.53
G/F,8,Justin Holiday,J. Holiday,IND,1.98,82,20.92,2184,4.37,-2.34,0.63
G/F,8,Justin Holiday,J. Holiday,All,1.98,82,20.92,2184,4.37,-2.34,0.63
F,24,Alize Johnson,A. Johnson,IND,2.06,96,22.62,156,4.41,-1.25,0.83
F,24,Alize Johnson,A. Johnson,All,2.06,96,22.62,156,4.41,-1.25,0.83
G,26,Jeremy Lamb,J. Lamb,IND,1.96,84,21.87,2156,4.35,-1.73,0.53
G,26,Jeremy Lamb,J. Lamb,All,1.96,84,21.87,2156,4.35,-1.73,0.53
F,22,TJ Leaf,T. Leaf,IND,2.08,102,23.58,390,4.4,-0.63,0.78
F,22,TJ Leaf,T. Leaf,All,2.08,102,23.58,390,4.4,-0.63,0.78
G,9,T.J. McConnell,T. McConnell,IND,1.88,86,24.33,1170,4.7,-0.15,2.32
G,9,T.J. McConnell,T. McConnell,All,1.88,86,24.33,1170,4.7,-0.15,2.32
F,20,Doug McDermott,D. McDermott,IND,2.03,102,24.75,1304,4.56,0.12,1.6
F,20,Doug McDermott,D. McDermott,All,2.03,102,24.75,1304,4.56,0.12,1.6
G,4,Victor Oladipo,V. Oladipo,IND,1.93,95,25.5,1372,4.28,0.61,0.17
G,4,Victor Oladipo,V. Oladipo,All,1.93,95,25.5,1372,4.28,0.61,0.17
F,11,Domantas Sabonis,D. Sabonis,IND,2.11,109,24.48,2340,4.23,-0.05,-0.09
F,11,Domantas Sabonis,D. Sabonis,All,2.11,109,24.48,2340,4.23,-0.05,-0.09
G,5,Edmond Sumner,E. Sumner,IND,1.98,80,20.41,360,4.42,-2.67,0.88
G,5,Edmond Sumner,E. Sumner,All,1.98,80,20.41,360,4.42,-2.67,0.88
F/C,33,Myles Turner,M. Turner,IND,2.11,113,25.38,2310,4.07,0.53,-0.91
F/C,33,Myles Turner,M. Turner,All,2.11,113,25.38,2310,4.07,0.53,-0.91
F,1,T.J. Warren,T. Warren,IND,2.03,98,23.78,2100,4.18,-0.5,-0.34
F,1,T.J. Warren,T. Warren,All,2.03,98,23.78,2100,4.18,-0.5,-0.34
F,34,Giannis Antetokounmpo,G. Antetokounmpo,MIL,2.11,110,24.71,2618,4.17,0.09,-0.39
F,34,Giannis Antetokounmpo,G. Antetokounmpo,All,2.11,110,24.71,2618,4.17,0.09,-0.39
G,6,Eric Bledsoe,E. Bledsoe,MIL,1.85,93,27.17,2184,4.26,1.68,0.07
G,6,Eric Bledsoe,E. Bledsoe,All,1.85,93,27.17,2184,4.26,1.68,0.07
G,23,Sterling Brown,S. Brown,MIL,1.98,105,26.78,1560,4.43,1.43,0.93
G,23,Sterling Brown,S. Brown,All,1.98,105,26.78,1560,4.43,1.43,0.93
G,24,Pat Connaughton,P. Connaughton,MIL,1.93,95,25.5,1560,4.35,0.61,0.53
G,24,Pat Connaughton,P. Connaughton,All,1.93,95,25.5,1560,4.35,0.61,0.53
G,0,Donte DiVincenzo,D. DiVincenzo,MIL,1.93,92,24.7,600,4.46,0.09,1.09
G,0,Donte DiVincenzo,D. DiVincenzo,All,1.93,92,24.7,600,4.46,0.09,1.09
G,3,George Hill,G. Hill,MIL,1.91,85,23.3,1584,4.25,-0.81,0.01
G,3,George Hill,G. Hill,All,1.91,85,23.3,1584,4.25,-0.81,0.01
